Serie,Diameter,Locatie nr,Uniek.nummer,x,y,Opnamenr.,Jaar,In,Opname,Uit,Dagen,Tijd,Totaal dagen uit,Geslacht,Leeftijdsfase,Opmerkingen,Camera,Totaal aantal opnames,Seizoen
Dieren,8,1,M17.1,203845,449785,,2017,10/03/2017,geen,24/03/2017,,,14,,,,Bushnell Throphycam HD,,spring
Dieren,8,2,M17.2,203922,449862,,2017,20/04/2017,geen,25/05/2017,,,35,,,,Bushnell Throphycam HD,,spring
1,8,3,M17.3,203904,449846,1,2017,30/06/2017,03/07/2017,13/07/2017,3,05:25,13,man,adult,,Bushnell Throphycam HD,6,summer
1,8,3,M17.3,203904,449846,2,2017,30/06/2017,09/07/2017,13/07/2017,9,08:56,13,man,adult,,Bushnell Throphycam HD,,summer
Dieren,,4,M17.4,204044,449746,,2017,08/04/2017,geen,20/04/2017,,,12,,,,Bushnell Throphycam HD,,spring
2,10,5,M17.5,204035,449734,1,2017,30/06/2017,02/07/2017,13/07/2017,2,06:14,13,man,adult,,Bushnell Throphycam HD,13,summer
2,10,5,M17.5,204035,449734,2,2017,30/06/2017,03/07/2017,13/07/2017,3,05:49,13,man,adult,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,3,2017,30/06/2017,06/07/2017,13/07/2017,6,07:57,13,?,adult,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,4,2017,30/06/2017,06/07/2017,13/07/2017,6,10:00,13,vro,juv,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,5,2017,30/06/2017,06/07/2017,13/07/2017,6,22:02,13,vro,juv,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,6,2017,30/06/2017,08/07/2017,13/07/2017,8,22:08,13,?,adult,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,7,2017,30/06/2017,09/07/2017,13/07/2017,9,09:18,13,man,adult,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,8,2017,30/06/2017,10/07/2017,13/07/2017,10,18:37,13,?,adult,,Bushnell Throphycam HD,,summer
2,10,5,M17.5,204035,449734,9,2017,30/06/2017,13/07/2017,13/07/2017,13,19:47,13,?,adult,,Bushnell Throphycam HD,,summer
Dieren,,6,M17.6,204310,449400,,2017,25/05/2017,geen,16/06/2017,,,22,,,,Bushnell Throphycam HD,,spring
Dieren,,7,M17.7,204013,449862,,2017,24/03/2017,geen,09/04/2017,,,16,,,,Bushnell Throphycam HD,,spring
Dieren,8,8,M17.8,204013,449862,,2017,10/03/2017,geen,24/03/2017,,,14,,,,Bushnell Throphycam HD,,spring
3,8,9,M17.9,204010,449860,1,2017,13/07/2017,14/07/2017,28/07/2017,1,06:11,15,man,adult,,Bushnell Throphycam HD,27,summer
